City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
1,Presidencia Roque Saenz Pena,AR,81.0,clear sky,-26.79,-60.44,Hotel Aconcagua
21,Hithadhoo,MV,83.26,light rain,-0.6,73.08,Scoop Guest House
23,Touros,BR,84.2,broken clouds,-5.2,-35.46,INN NEW HORIZON
25,Atuona,PF,77.85,scattered clouds,-9.8,-139.03,Villa Enata
27,Dwarka,IN,83.05,scattered clouds,22.24,68.97,Hotel Narayan Avezika Comfort
30,Victoria,HK,75.99,light rain,22.29,114.16,Mini Hotel Central
31,Kaberamaido,UG,76.95,overcast clouds,1.74,33.16,"Little Orchard, Kaberamaido"
37,Iranshahr,IR,80.6,clear sky,27.2,60.68,کافی نت دانشگاه
43,Port Moresby,PG,80.6,haze,-9.44,147.18,Lamana Hotel
46,Sao Filipe,CV,80.64,clear sky,14.9,-24.5,Tortuga B&B
55,Bambanglipuro,ID,77.95,overcast clouds,-7.95,110.28,Puri Brata
79,Maturin,VE,84.36,light rain,9.75,-63.18,Residencias Guaritos I
80,Cape Town,ZA,77.0,clear sky,-33.93,18.42,Southern Sun Waterfront Cape Town
81,Hermanus,ZA,75.99,clear sky,-34.42,19.23,Misty Waves Boutique Hotel
84,Port Hedland,AU,77.0,scattered clouds,-20.32,118.57,The Esplanade Hotel
91,Natal,BR,84.2,broken clouds,-5.79,-35.21,Villa Park Hotel | Natal
92,Avarua,CK,75.2,overcast clouds,-21.21,-159.78,Paradise Inn
104,Kloulklubed,PW,75.2,overcast clouds,7.04,134.26,Storyboard Beach Resort
105,La Rioja,ES,75.99,overcast clouds,42.25,-2.5,Casa Concejos
107,Noumea,NC,77.0,broken clouds,-22.28,166.46,Hôtel Le Lagon
114,Hervey Bay,AU,75.0,overcast clouds,-25.3,152.85,Shelly Bay Resort
117,Champerico,GT,77.0,broken clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
126,Alice Springs,AU,77.0,clear sky,-23.7,133.88,Desert Palms Alice Springs
130,Axim,GH,82.56,light rain,4.87,-2.24,AXIM BEACH RESORT AND SPA
132,Marang,MY,84.2,few clouds,5.21,103.21,DBarakah Homestay
138,Nkayi,CG,82.44,moderate rain,-4.18,13.29,Declaise de M'BAMA
141,Dingle,PH,75.54,overcast clouds,11.0,122.67,Camp Pasica
150,Naze,JP,77.0,broken clouds,28.37,129.48,奄美ポートタワーホテル
152,Arraial Do Cabo,BR,75.2,broken clouds,-22.97,-42.03,Pousada Porto Praia
155,Vanimo,PG,79.47,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
165,Harper,LR,81.5,light rain,4.38,-7.72,Screensaver
169,Baracoa,CU,82.83,light rain,20.35,-74.5,Hostal Rio Miel
179,Pangai,TO,75.88,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
182,Dunmore Town,BS,81.73,clear sky,25.5,-76.65,Coral Sands Hotel
184,Butaritari,KI,81.99,broken clouds,3.07,172.79,Isles Sunset Lodge
186,Namibe,AO,80.6,few clouds,-15.2,12.15,Hotel Chik Chik Namibe
187,Asyut,EG,84.2,scattered clouds,27.18,31.18,Florence Hotel Assiut
189,Alofi,NU,75.2,light rain,-19.06,-169.92,Taloa Heights
201,Martapura,ID,76.64,broken clouds,-3.42,114.85,Montana Hotel Syariah
