City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Date
0,Verkhozim,RU,52.71,45.42,44.01,99,100,9.73,overcast clouds,2020-11-01 14:33:12
1,Presidencia Roque Saenz Pena,AR,-26.79,-60.44,81.0,30,0,4.0,clear sky,2020-11-01 14:33:12
2,Kapaa,US,22.08,-159.32,69.8,94,1,6.93,clear sky,2020-11-01 14:33:12
3,Bani Walid,LY,31.76,13.99,73.17,38,54,8.34,broken clouds,2020-11-01 14:33:12
4,Jamestown,US,42.1,-79.24,46.99,75,90,12.75,light rain,2020-11-01 14:30:34
5,Broome,US,42.25,-75.83,46.0,31,100,5.01,overcast clouds,2020-11-01 14:32:05
6,Torbay,CA,47.67,-52.73,39.0,55,20,17.22,few clouds,2020-11-01 14:29:59
7,New Norfolk,AU,-42.78,147.06,54.0,73,99,0.81,overcast clouds,2020-11-01 14:33:13
8,Dehloran,IR,32.69,47.27,68.77,23,99,0.83,overcast clouds,2020-11-01 14:33:13
9,Castro,BR,-24.79,-50.01,65.93,61,78,8.21,broken clouds,2020-11-01 14:33:13
10,Vostok,RU,46.49,135.88,33.17,98,97,3.87,overcast clouds,2020-11-01 14:33:13
11,Ushuaia,AR,-54.8,-68.3,48.2,70,40,7.34,scattered clouds,2020-11-01 14:32:06
12,Bluff,NZ,-46.6,168.33,50.0,67,58,8.01,broken clouds,2020-11-01 14:33:13
13,Calbuco,CL,-41.77,-73.13,60.8,72,0,4.7,clear sky,2020-11-01 14:33:13
14,Mount Gambier,AU,-37.83,140.77,50.0,93,95,5.82,overcast clouds,2020-11-01 14:33:13
15,Rikitea,PF,-23.12,-134.97,74.71,82,40,10.27,scattered clouds,2020-11-01 14:33:13
16,Albany,US,42.6,-73.97,44.01,75,98,1.99,overcast clouds,2020-11-01 14:30:33
17,Puerto Ayora,EC,-0.74,-90.35,70.0,91,100,7.0,overcast clouds,2020-11-01 14:33:13
18,Luohe,CN,33.57,114.04,59.54,33,90,5.53,overcast clouds,2020-11-01 14:33:13
19,Coihaique,CL,-45.58,-72.07,57.2,54,0,3.36,clear sky,2020-11-01 14:33:14
20,Bredasdorp,ZA,-34.53,20.04,71.6,60,0,21.92,clear sky,2020-11-01 14:33:14
21,Hithadhoo,MV,-0.6,73.08,83.26,76,100,13.02,light rain,2020-11-01 14:31:42
22,Port Alfred,ZA,-33.59,26.89,67.59,75,66,23.96,broken clouds,2020-11-01 14:33:14
23,Touros,BR,-5.2,-35.46,84.2,66,75,14.99,broken clouds,2020-11-01 14:30:55
24,Mahebourg,MU,-20.41,57.7,73.4,56,40,12.75,scattered clouds,2020-11-01 14:33:14
25,Atuona,PF,-9.8,-139.03,77.85,79,27,15.86,scattered clouds,2020-11-01 14:33:14
26,Chuy,UY,-33.7,-53.46,67.86,46,0,4.9,clear sky,2020-11-01 14:33:14
27,Dwarka,IN,22.24,68.97,83.05,50,45,12.12,scattered clouds,2020-11-01 14:33:14
28,Fortuna,US,40.6,-124.16,44.6,100,1,6.93,clear sky,2020-11-01 14:33:14
29,Yahotyn,UA,50.28,31.76,46.4,93,90,8.95,light rain,2020-11-01 14:33:14
30,Victoria,HK,22.29,114.16,75.99,70,2,10.04,light rain,2020-11-01 14:32:14
31,Kaberamaido,UG,1.74,33.16,76.95,70,99,2.53,overcast clouds,2020-11-01 14:33:14
32,Vaini,TO,-21.2,-175.2,73.4,88,75,8.05,broken clouds,2020-11-01 14:33:14
33,Chokurdakh,RU,70.63,147.92,-0.31,94,100,9.44,overcast clouds,2020-11-01 14:30:07
34,East London,ZA,-33.02,27.91,68.0,68,40,14.99,scattered clouds,2020-11-01 14:33:14
35,Sitka,US,57.05,-135.33,46.4,87,90,3.36,light rain,2020-11-01 14:33:14
36,Busselton,AU,-33.65,115.33,54.0,92,97,5.93,overcast clouds,2020-11-01 14:31:45
37,Iranshahr,IR,27.2,60.68,80.6,5,0,4.7,clear sky,2020-11-01 14:33:14
38,Grand Forks,US,47.94,-97.43,17.6,92,1,5.82,clear sky,2020-11-01 14:33:15
39,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,30.2,86,75,4.47,broken clouds,2020-11-01 14:32:09
40,Tuatapere,NZ,-46.13,167.68,50.0,67,59,8.01,broken clouds,2020-11-01 14:30:58
41,Norman Wells,CA,65.28,-126.83,5.0,77,75,16.11,light snow,2020-11-01 14:33:15
42,Mar Del Plata,AR,-38.0,-57.56,71.6,43,0,9.17,clear sky,2020-11-01 14:31:20
43,Port Moresby,PG,-9.44,147.18,80.6,83,75,5.82,haze,2020-11-01 14:33:15
44,Vardo,NO,70.37,31.11,37.4,86,75,17.22,broken clouds,2020-11-01 14:33:15
