City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hobyo,SO,2020-10-30 16:20:31,5.35,48.53,81.88,74,4,11.7
1,Ushuaia,AR,2020-10-30 16:19:04,-54.8,-68.3,48.2,76,75,29.97
2,Iralaya,HN,2020-10-30 16:20:31,15.0,-83.23,84.94,71,100,7.34
3,Taoudenni,ML,2020-10-30 16:20:28,22.68,-3.98,91.74,11,100,11.1
4,Luderitz,NA,2020-10-30 16:20:31,-26.65,15.16,68.02,43,59,33.42
5,Hilo,US,2020-10-30 16:20:31,19.73,-155.09,75.2,88,90,3.36
6,Hot Springs,US,2020-10-30 16:20:31,34.5,-93.06,53.6,54,1,6.93
7,Kingaroy,AU,2020-10-30 16:20:31,-26.53,151.83,66.2,88,0,6.93
8,Bredasdorp,ZA,2020-10-30 16:20:31,-34.53,20.04,62.6,45,0,10.29
9,Hobart,AU,2020-10-30 16:16:53,-42.88,147.33,46.4,87,12,5.82
10,Sinnamary,GF,2020-10-30 16:20:12,5.38,-52.95,87.6,63,80,13.49
11,Polson,US,2020-10-30 16:20:31,47.69,-114.16,43.0,68,78,1.01
12,Los Llanos De Aridane,ES,2020-10-30 16:20:31,28.66,-17.92,75.2,73,40,13.87
13,Barrow,US,2020-10-30 16:20:31,71.29,-156.79,19.4,92,20,13.87
14,Albany,US,2020-10-30 16:19:59,42.6,-73.97,34.0,88,100,7.27
15,Ozark,US,2020-10-30 16:20:32,37.02,-93.21,48.0,80,0,4.18
16,Chatham,GB,2020-10-30 16:20:32,51.38,0.53,60.01,91,97,4.0
17,Sao Felix Do Xingu,BR,2020-10-30 16:20:26,-6.64,-51.99,74.71,92,100,6.6
18,Yar-Sale,RU,2020-10-30 16:20:32,66.83,70.83,30.61,98,89,9.73
19,Port Alfred,ZA,2020-10-30 16:19:42,-33.59,26.89,63.05,54,89,5.17
20,Chuy,UY,2020-10-30 16:20:32,-33.7,-53.46,61.84,65,62,12.06
21,Pipri,IN,2020-10-30 16:20:32,19.8,75.53,75.2,69,40,4.65
22,San Roque,ES,2020-10-30 16:20:32,36.21,-5.38,66.2,77,75,8.05
23,Diego De Almagro,CL,2020-10-30 16:20:32,-26.37,-70.05,83.12,13,0,12.68
24,Hithadhoo,MV,2020-10-30 16:20:32,-0.6,73.08,83.55,74,0,8.97
25,Saskylakh,RU,2020-10-30 16:19:48,71.92,114.08,-1.57,86,47,6.87
26,Diffa,NE,2020-10-30 16:20:33,13.32,12.61,93.6,14,0,11.92
27,Husavik,IS,2020-10-30 16:20:33,66.04,-17.34,41.0,86,90,8.05
28,Guerrero Negro,MX,2020-10-30 16:20:33,27.98,-114.06,71.24,47,31,2.39
29,Rikitea,PF,2020-10-30 16:19:05,-23.12,-134.97,75.13,70,66,5.75
30,Torbay,CA,2020-10-30 16:20:33,47.67,-52.73,39.0,51,47,5.99
31,Les Cayes,HT,2020-10-30 16:20:33,18.2,-73.75,85.55,63,12,3.27
32,Cockburn Town,TC,2020-10-30 16:20:33,21.46,-71.14,83.5,79,100,17.9
33,Araouane,ML,2020-10-30 16:20:33,18.9,-3.53,95.99,9,43,7.99
34,Aksarka,RU,2020-10-30 16:20:34,66.56,67.8,34.81,95,100,10.98
35,Loding,NO,2020-10-30 16:20:34,67.3,14.75,37.4,55,0,21.92
36,Hermanus,ZA,2020-10-30 16:20:34,-34.42,19.23,61.0,61,0,5.01
37,Punta Arenas,CL,2020-10-30 16:20:34,-53.15,-70.92,53.01,66,75,31.09
38,Tuktoyaktuk,CA,2020-10-30 16:20:34,69.45,-133.04,4.77,93,65,7.76
39,Tuy Hoa,VN,2020-10-30 16:20:34,13.08,109.3,76.39,90,12,3.96
40,Chokurdakh,RU,2020-10-30 16:20:34,70.63,147.92,4.17,94,100,6.33
41,Dikson,RU,2020-10-30 16:20:35,73.51,80.55,11.84,95,100,28.66
42,Kloulklubed,PW,2020-10-30 16:20:35,7.04,134.26,77.0,94,75,14.65
43,Lavrentiya,RU,2020-10-30 16:20:35,65.58,-171.0,21.33,87,86,7.43
44,Monmouth,US,2020-10-30 16:20:05,40.3,-74.17,41.0,100,90,20.8
45,Boyolangu,ID,2020-10-30 16:20:35,-8.12,111.89,76.41,89,100,1.61
46,Provideniya,RU,2020-10-30 16:20:35,64.38,-173.3,24.57,91,96,5.37
47,Kapaa,US,2020-10-30 16:20:36,22.08,-159.32,66.2,88,40,6.93
48,Bengkulu,ID,2020-10-30 16:20:36,-3.8,102.27,76.51,87,100,4.27
49,Broome,US,2020-10-30 16:20:36,42.25,-75.83,39.99,93,90,6.93
50,Bilibino,RU,2020-10-30 16:20:36,68.05,166.44,4.26,86,100,1.72
51,Berlevag,NO,2020-10-30 16:20:36,70.86,29.09,35.6,74,75,21.92
52,Yellowknife,CA,2020-10-30 16:20:32,62.46,-114.35,17.01,95,100,1.01
53,Oyek,RU,2020-10-30 16:20:36,52.59,104.46,23.0,100,88,2.44
54,Narsaq,GL,2020-10-30 16:20:36,60.92,-46.05,30.2,63,75,2.24
55,Vilhena,BR,2020-10-30 16:20:36,-12.74,-60.15,78.8,74,75,10.29
56,West Monroe,US,2020-10-30 16:20:37,32.52,-92.15,52.0,71,20,11.41
57,Srednekolymsk,RU,2020-10-30 16:20:37,67.45,153.68,4.28,94,100,3.76
58,Arraial Do Cabo,BR,2020-10-30 16:20:37,-22.97,-42.03,78.8,83,75,14.99
59,New Norfolk,AU,2020-10-30 16:20:37,-42.78,147.06,45.0,69,3,2.21
60,Thompson,CA,2020-10-30 16:20:37,55.74,-97.86,15.04,90,25,3.27
61,Port Hardy,CA,2020-10-30 16:20:37,50.7,-127.42,46.87,77,60,9.89
62,Vaini,TO,2020-10-30 16:19:57,-21.2,-175.2,71.6,78,20,11.41
